TRACT,LON,LAT,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,CATEGORIAS,MEDV
3418,-71.0285,42.258,0.13058,0.0,10.01,0,0.547,5,73.1,2.4775,6,432,17.8,Medio,20.4
3419,-71.019,42.2605,0.14476,0.0,10.01,0,0.547,5,65.2,2.7592,6,432,17.8,Medio,19.3
3421,-71.0243,42.2483,0.06899,0.0,25.65,0,0.581,5,69.7,2.2577,2,188,19.1,Medio,22.0
3422,-71.0312,42.2505,0.07165,0.0,25.65,0,0.581,6,84.1,2.1974,2,188,19.1,Medio,20.3
3423,-71.0377,42.247,0.09299,0.0,25.65,0,0.581,5,92.9,2.0869,2,188,19.1,Medio,20.5
3424,-71.037,42.2435,0.15038,0.0,25.65,0,0.581,5,97.0,1.9444,2,188,19.1,Medio,17.3
3425,-71.0308,42.245,0.09849,0.0,25.65,0,0.581,5,95.8,2.0063,2,188,19.1,Medio,18.8
3426,-71.0262,42.2431,0.16902,0.0,25.65,0,0.581,5,88.4,1.9929,2,188,19.1,Medio,21.4
3427,-71.0333,42.2395,0.38735,0.0,25.65,0,0.581,5,95.6,1.7572,2,188,19.1,Medio,15.7
3501,-71.053,42.2355,0.25915,0.0,21.89,0,0.624,5,96.0,1.7883,4,437,21.2,Medio,16.2
3502,-71.058,42.235,0.32543,0.0,21.89,0,0.624,6,98.8,1.8125,4,437,21.2,Medio,18.0
3503,-71.0638,42.2368,0.88125,0.0,21.89,0,0.624,5,94.7,1.9799,4,437,21.2,Medio,14.3
3504,-71.0692,42.239,0.34006,0.0,21.89,0,0.624,6,98.9,2.1185,4,437,21.2,Medio,19.2
3505,-71.075,42.24,1.19294,0.0,21.89,0,0.624,6,97.7,2.271,4,437,21.2,Medio,19.6
3506,-71.0745,42.2405,0.59005,0.0,21.89,0,0.624,6,97.9,2.3274,4,437,21.2,Medio,23.0
3507,-71.079,42.245,0.32982,0.0,21.89,0,0.624,5,95.4,2.4699,4,437,21.2,Medio,18.4
3508,-71.076,42.2405,0.97617,0.0,21.89,0,0.624,5,98.4,2.346,4,437,21.2,Medio,15.6
3509,-71.075,42.2362,0.55778,0.0,21.89,0,0.624,6,98.2,2.1107,4,437,21.2,Medio,18.1
3510,-71.0677,42.2335,0.32264,0.0,21.89,0,0.624,5,93.5,1.9669,4,437,21.2,Medio,17.4
3511,-71.063,42.2325,0.35233,0.0,21.89,0,0.624,6,98.4,1.8498,4,437,21.2,Medio,17.1
3512,-71.062,42.2275,0.2498,0.0,21.89,0,0.624,5,98.2,1.6686,4,437,21.2,Medio,13.3
3513,-71.0568,42.23,0.54452,0.0,21.89,0,0.624,6,97.9,1.6687,4,437,21.2,Medio,17.8
3514,-71.0518,42.2312,0.2909,0.0,21.89,0,0.624,6,93.6,1.6119,4,437,21.2,Medio,14.0
3515,-71.0543,42.2265,1.62864,0.0,21.89,0,0.624,5,100.0,1.4394,4,437,21.2,Medio,14.4
3521,-71.048,42.2222,3.32105,0.0,19.58,1,0.871,5,100.0,1.3216,5,403,14.7,Medio,13.4
3522,-71.0519,42.223,4.0974,0.0,19.58,0,0.871,5,100.0,1.4118,5,403,14.7,Medio,15.6
3523,-71.051,42.2205,2.77974,0.0,19.58,0,0.871,4,97.8,1.3459,5,403,14.7,Pequeno,11.8
3524,-71.054,42.219,2.37934,0.0,19.58,0,0.871,6,100.0,1.4191,5,403,14.7,Medio,13.8
3525,-71.059,42.221,2.15505,0.0,19.58,0,0.871,5,100.0,1.5166,5,403,14.7,Medio,15.6
3526,-71.0555,42.2222,2.36862,0.0,19.58,0,0.871,4,95.7,1.4608,5,403,14.7,Pequeno,14.6
3527,-71.0567,42.224,2.33099,0.0,19.58,0,0.871,5,93.8,1.5296,5,403,14.7,Medio,17.8
3528,-71.058,42.223,2.73397,0.0,19.58,0,0.871,5,94.9,1.5257,5,403,14.7,Medio,15.4
3529,-71.062,42.2236,1.6566,0.0,19.58,0,0.871,6,97.3,1.618,5,403,14.7,Medio,21.5
3530,-71.0622,42.2205,1.49632,0.0,19.58,0,0.871,5,100.0,1.5916,5,403,14.7,Medio,19.6
3531,-71.059,42.217,1.12658,0.0,19.58,1,0.871,5,88.0,1.6102,5,403,14.7,Medio,15.3
3532,-71.0645,42.215,2.14918,0.0,19.58,0,0.871,5,98.5,1.6232,5,403,14.7,Medio,19.4
3533,-71.0662,42.2162,1.41385,0.0,19.58,1,0.871,6,96.0,1.7494,5,403,14.7,Medio,17.0
3534,-71.068,42.215,3.53501,0.0,19.58,1,0.871,6,82.6,1.7455,5,403,14.7,Medio,15.6
3535,-71.0667,42.22,2.44668,0.0,19.58,0,0.871,5,94.0,1.7364,5,403,14.7,Medio,13.1
3536,-71.069,42.2285,1.22358,0.0,19.58,0,0.605,6,97.4,1.8773,5,403,14.7,Medio,41.3
3537,-71.067,42.2245,1.34284,0.0,19.58,0,0.605,6,100.0,1.7573,5,403,14.7,Medio,24.3
3538,-71.065,42.2223,1.42502,0.0,19.58,0,0.871,6,100.0,1.7659,5,403,14.7,Medio,23.3
3539,-71.07,42.2214,1.27346,0.0,19.58,1,0.605,6,92.6,1.7984,5,403,14.7,Medio,27.0
3543,-71.0918,42.2265,2.24236,0.0,19.58,0,0.605,5,91.8,2.422,5,403,14.7,Medio,22.7
3544,-71.082,42.2295,2.924,0.0,19.58,0,0.605,6,93.0,2.2834,5,403,14.7,Medio,25.0
3546,-71.0866,42.2345,1.80028,0.0,19.58,0,0.605,5,79.2,2.4259,5,403,14.7,Medio,23.8
3547,-71.074,42.2331,2.3004,0.0,19.58,0,0.605,6,96.1,2.1,5,403,14.7,Medio,23.8
3548,-71.0775,42.2351,2.44953,0.0,19.58,0,0.605,6,95.2,2.2625,5,403,14.7,Medio,22.3
3549,-71.081,42.2368,1.20742,0.0,19.58,0,0.605,5,94.6,2.4259,5,403,14.7,Medio,17.4
3550,-71.0792,42.239,2.3139,0.0,19.58,0,0.605,5,97.3,2.3887,5,403,14.7,Medio,19.1
3561,-71.087,42.2416,0.13914,0.0,4.05,0,0.51,5,88.5,2.5961,5,296,16.6,Medio,23.1
3562,-71.0855,42.245,0.09178,0.0,4.05,0,0.51,6,84.1,2.6463,5,296,16.6,Medio,23.6
3563,-71.0833,42.2475,0.08447,0.0,4.05,0,0.51,5,68.7,2.7019,5,296,16.6,Medio,22.6
3564,-71.094,42.2575,0.06664,0.0,4.05,0,0.51,6,33.1,3.1323,5,296,16.6,Medio,29.4
3565,-71.1125,42.255,0.07022,0.0,4.05,0,0.51,6,47.2,3.5549,5,296,16.6,Medio,23.2
3566,-71.106,42.2512,0.05425,0.0,4.05,0,0.51,6,73.4,3.3175,5,296,16.6,Medio,24.6
3567,-71.0965,42.247,0.06642,0.0,4.05,0,0.51,6,74.4,2.9153,5,296,16.6,Medio,29.9
3571,-71.1,42.2408,0.0578,0.0,2.46,0,0.488,6,58.4,2.829,3,193,17.8,Medio,37.2
3572,-71.0995,42.2345,0.06588,0.0,2.46,0,0.488,7,83.3,2.741,3,193,17.8,Grande,39.8
3573,-71.0966,42.2282,0.06888,0.0,2.46,0,0.488,6,62.2,2.5979,3,193,17.8,Medio,36.2
3574,-71.1005,42.2287,0.09103,0.0,2.46,0,0.488,7,92.2,2.7006,3,193,17.8,Grande,37.9
3575,-71.1065,42.23,0.10008,0.0,2.46,0,0.488,6,95.6,2.847,3,193,17.8,Medio,32.5
3576,-71.112,42.23,0.08308,0.0,2.46,0,0.488,5,89.8,2.9879,3,193,17.8,Medio,26.4
3577,-71.1175,42.235,0.06047,0.0,2.46,0,0.488,6,68.8,3.2797,3,193,17.8,Medio,29.6
3581,-71.122,42.2565,0.07875,45.0,3.44,0,0.437,6,41.1,3.7886,5,398,15.2,Medio,32.0
3583,-71.1408,42.255,0.12579,45.0,3.44,0,0.437,6,29.1,4.5667,5,398,15.2,Medio,29.8
3584,-71.145,42.2651,0.0837,45.0,3.44,0,0.437,7,38.9,4.5667,5,398,15.2,Grande,34.9
3585,-71.1216,42.27,0.09068,45.0,3.44,0,0.437,6,21.5,6.4798,5,398,15.2,Medio,33.0
3586,-71.1485,42.2765,0.06911,45.0,3.44,0,0.437,6,30.8,6.4798,5,398,15.2,Medio,30.5
3587,-71.134,42.2785,0.08664,45.0,3.44,0,0.437,7,26.3,6.4798,5,398,15.2,Grande,36.4
3591,-71.1525,42.3,0.02187,60.0,2.93,0,0.401,6,9.9,6.2196,1,265,15.6,Medio,31.1
3592,-71.1633,42.303,0.01439,60.0,2.93,0,0.401,6,18.8,6.2196,1,265,15.6,Medio,29.1
3611,-71.22,42.2715,0.04011,80.0,1.52,0,0.404,7,34.1,7.309,2,329,12.6,Grande,33.3
3612,-71.24,42.2725,0.04666,80.0,1.52,0,0.404,7,36.6,7.309,2,329,12.6,Grande,30.3
3613,-71.222,42.289,0.03768,80.0,1.52,0,0.404,7,38.3,7.309,2,329,12.6,Grande,34.6
3651,-71.244,42.2425,0.0315,95.0,1.47,0,0.403,6,15.3,7.6534,3,402,17.0,Medio,34.9
3652,-71.263,42.2225,0.01778,95.0,1.47,0,0.403,7,13.9,7.6534,3,402,17.0,Grande,32.9
3661,-71.2185,42.1955,0.03445,82.5,2.03,0,0.415,6,38.4,6.27,2,348,14.7,Medio,24.1
3662,-71.214,42.218,0.02177,82.5,2.03,0,0.415,7,15.7,6.27,2,348,14.7,Grande,42.3
3681,-71.1475,42.2445,0.13642,0.0,10.59,0,0.489,5,22.3,3.9454,4,277,18.6,Medio,22.6
3682,-71.15,42.2308,0.22969,0.0,10.59,0,0.489,6,52.5,4.3549,4,277,18.6,Medio,24.4
3683,-71.149,42.2268,0.25199,0.0,10.59,0,0.489,5,72.7,4.3549,4,277,18.6,Medio,22.5
3684,-71.1503,42.222,0.13587,0.0,10.59,1,0.489,6,59.1,4.2392,4,277,18.6,Medio,24.4
3685,-71.143,42.2217,0.43571,0.0,10.59,1,0.489,5,100.0,3.875,4,277,18.6,Medio,20.0
3686,-71.1435,42.2177,0.17446,0.0,10.59,1,0.489,5,92.1,3.8771,4,277,18.6,Medio,21.7
3687,-71.138,42.2216,0.37578,0.0,10.59,1,0.489,5,88.6,3.665,4,277,18.6,Medio,19.3
3688,-71.1335,42.225,0.21719,0.0,10.59,1,0.489,5,53.8,3.6526,4,277,18.6,Medio,22.4
3689,-71.1375,42.2355,0.14052,0.0,10.59,0,0.489,6,32.3,3.9454,4,277,18.6,Medio,28.1
3690,-71.127,42.235,0.28955,0.0,10.59,0,0.489,5,9.8,3.5875,4,277,18.6,Medio,23.7
3691,-71.1245,42.2277,0.19802,0.0,10.59,0,0.489,6,42.4,3.9454,4,277,18.6,Medio,25.0
3701,-71.1166,42.223,0.0456,0.0,13.89,1,0.55,5,56.0,3.1121,5,276,16.4,Medio,23.3
3702,-71.105,42.2235,0.07013,0.0,13.89,0,0.55,6,85.1,3.4211,5,276,16.4,Medio,28.7
3703,-71.0933,42.222,0.11069,0.0,13.89,1,0.55,5,93.8,2.8893,5,276,16.4,Medio,21.5
3704,-71.106,42.2185,0.11425,0.0,13.89,1,0.55,6,92.4,3.3633,5,276,16.4,Medio,23.0
3731,-71.11,42.2137,0.35809,0.0,6.2,1,0.507,6,88.5,2.8617,8,307,17.4,Medio,26.7
3732,-71.121,42.2166,0.40771,0.0,6.2,1,0.507,6,91.3,3.048,8,307,17.4,Medio,21.7
3733,-71.125,42.2134,0.62356,0.0,6.2,1,0.507,6,77.7,3.2721,8,307,17.4,Medio,27.5
3734,-71.1208,42.2183,0.6147,0.0,6.2,0,0.507,6,80.8,3.2721,8,307,17.4,Medio,30.1
3735,-71.11,42.206,0.31533,0.0,6.2,0,0.504,8,78.3,2.8944,8,307,17.4,Grande,44.8
3737,-71.1215,42.2025,0.38214,0.0,6.2,0,0.504,8,86.5,3.2157,8,307,17.4,Grande,37.6
3738,-71.116,42.1947,0.41238,0.0,6.2,0,0.504,7,79.9,3.2157,8,307,17.4,Grande,31.6
3740,-71.119,42.1807,0.44178,0.0,6.2,0,0.504,6,21.4,3.3751,8,307,17.4,Medio,31.5
3741,-71.13,42.188,0.537,0.0,6.2,0,0.504,5,68.1,3.6715,8,307,17.4,Medio,24.3
3742,-71.1285,42.193,0.46296,0.0,6.2,0,0.504,7,76.9,3.6715,8,307,17.4,Grande,31.7
3743,-71.14,42.1946,0.57529,0.0,6.2,0,0.507,8,73.3,3.8384,8,307,17.4,Grande,41.7
3745,-71.132,42.2142,0.44791,0.0,6.2,1,0.507,6,66.5,3.6519,8,307,17.4,Medio,29.0
3746,-71.138,42.2141,0.33045,0.0,6.2,0,0.507,6,61.5,3.6519,8,307,17.4,Medio,24.0
3747,-71.1485,42.211,0.52058,0.0,6.2,1,0.507,6,76.5,4.148,8,307,17.4,Medio,25.1
3748,-71.1491,42.203,0.51183,0.0,6.2,0,0.507,7,71.6,4.148,8,307,17.4,Grande,31.5
3821,-71.2055,42.1875,0.08244,30.0,4.93,0,0.428,6,18.5,6.1899,6,300,16.6,Medio,23.7
3822,-71.2035,42.187,0.09252,30.0,4.93,0,0.428,6,42.2,6.1899,6,300,16.6,Medio,23.3
3823,-71.1966,42.164,0.11329,30.0,4.93,0,0.428,6,54.3,6.3361,6,300,16.6,Medio,27.0
3824,-71.2138,42.1645,0.10612,30.0,4.93,0,0.428,6,65.1,6.3361,6,300,16.6,Medio,20.1
3825,-71.22,42.1782,0.1029,30.0,4.93,0,0.428,6,52.9,7.0355,6,300,16.6,Medio,22.2
3826,-71.232,42.1725,0.12757,30.0,4.93,0,0.428,6,7.8,7.0355,6,300,16.6,Medio,23.7
3831,-71.2435,42.163,0.20608,22.0,5.86,0,0.431,5,76.5,7.9549,7,330,19.1,Medio,17.6
3832,-71.2575,42.1618,0.19133,22.0,5.86,0,0.431,5,70.2,7.9549,7,330,19.1,Medio,18.5
